"!symbol / month","!symbol / month"
"* Required Fields","* campo obbligatorio"
"You have to enter the name of your bank.","Si prega di indicare il nome della banca."
"You have to enter your IBAN Number.","Si prega di inserire il codice IBAN."
"You have to enter your IBAN.","Inserisci il tuo numero IBAN."
"You have to enter your bank account number.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"You have to enter your birthplace","Inserisci qui il tuo luogo di nascita."
"You have to enter your date of birth","È necessario inserire la data di nascita"
"You have to enter your social security number.","Si prega di inserire il numero di sicurezza sociale."
"You may choose one of the cards you paid before on this site.","È possibile scegliere una delle schede usate in precedenza:"
"You may choose one of your stored payment details.","È possibile scegliere uno dei tuoi dati di pagamento memorizzati."
"You will be redirect to the order confirmation page.","Verrai reindirizzato alla pagina di conferma dell'ordine."
"You will be redirected in a few seconds to MasterPass.","You will be redirected in a few seconds to MasterPass."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Your checkout session expired.","Your checkout session expired."
"FirstDataConnectCw Aliases","FirstDataConnectCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"FirstData Connect API Password","FirstData Connect API Password"
"FirstData Connect API Password (Test)","Password API (Test) FirstData Connect"
"FirstData Connect API User Id","FirstData Connect API User ID"
"FirstData Connect API User Id (Test)","FirstData Connect API User ID (Test)"
"FirstData Connect API password","FirstData Connect API password"
"FirstData Connect Aliases","FirstData Connect Aliases"
"FirstData Connect Error","Errore di FirstData Connect"
"FirstData Connect Parameters","Impostazioni per FirstData Connect"
"FirstData Connect Refund Items","Articoli rimborsati FirstData Connect"
"FirstData Connect Section","Sezione FirstData Connect"
"FirstData Connect Transactions","FirstData Connect transazioni"
"FirstData Connect:","FirstData Connect:"
"FirstData Connect: Alias Management","FirstData Connect: Alias Management"
"customweb ltd","customweb SRL"
"no","no"
"or","oppure"
"yes","yes"
