"!symbol / month","!symbol / Monat"
"* Required Fields","* Erforderliche Felder"
"This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the FirstData Connect account.","Dieses Passwort wird für wiederkehrende Zahlungen sowie für den Alias Manager und die Service Autorisierung benutzt. Dies ist das Passwort für den FirstData Connect Account."
"This payment method is currently not available, please select another one.","Die Zahlungsmethode ist nicht verfügbar. Bitte wählen Sie eine andere Zahlart."
"This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","Anhand dieser Einstellung können Sie die 3D Secure Überprüfung aktivieren bzw. deaktivieren. Bitte fragen Sie bei Paybox an, ob sie 3D Secure deaktivieren dürfen. Diese Einstellung ist nur relevant, wenn Sie Payment Page benutzen."
"This status is set, when the payment was successfull and it is authorized.","Dieser Status wird vergeben, wenn eine Zahlung erfolgreich war und autorisiert wurde."
"This transaction is already closed for further captures.","Diese Transaktion ist bereits geschlossen und es können keine weiteren Buchungen vorgenommen werden."
"This transaction is already closed for further refunds.","Diese Transaktion wurde für weitere Gutschriften bereits geschlossen."
"This transaction no longer exists.","Diese Transaktion existiert nicht mehr."
"Timeout for pending payments (min)","Timeout für ausstehende Zahlungen (Min.)"
"Titel","Titel"
"Title","Titel"
"Title of the payment method","Name der Zahlungsmethode"
"Total","Total"
"Total Shipping Charges","Total Lieferkosten"
"Track order history","Getätigte Bestellungen verfolgen"
"Trans ID","Transaktions-ID"
"Transaction","Transaktion"
"Transaction Authorized","Transaktion autorisiert"
"Transaction Cancelled","Transaktion storniert"
"Transaction Captured","Transaktion verbucht"
"Transaction History","Transaktionsverlauf"
"Transaction Id","Transaktions-ID"
"Transaction Paid","Transaktion bezahlt"
"Transaction Uncertain","Transaktion ist unsicher"
"Transaction Updates","Transaktionsupdates"
"Transaction cancelled successfully","Die Transaktion wurde erfolgreich abgebrochen."
"Transaction captured successfully","Die Transaktoin wurde erfolgreich verbucht."
"Transaction declined as authorization is pending at a third party service.","Die Transaktion wurde abgelehnt oder ist ausstehend bei dem Verarbeiter."
"Transaction history","Transaktionsübersicht"
"Transaction notification verification failed.","Die Benachrichtigung zur Bestätigung der Transaktion ist fehlgeschlagen."
"Transaction was authorized over the deferred authorization mechanism.","Die Transaktion wurde über den verzägerten Autorisierungsmechanismus autorisiert."
"Transactions","Transaktionen"
"Unable to save the invoice.","Die Rechnung konnte nicht gespeichert werden."
"Uncertain Status","Unsicherer Status"
"Uncertain transactions","Unsichere Transaktionen"
"Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Wenn Sie die Checkbox nicht anklicken, wird die Bestellung beim PSP verbucht und es können keine weiteren Captures erstellt werden."
"Update","Update"
"Update Qty's","Anzahl anpassen"
"Update interval for payments","Update Intervall für Zahlungen"
"Use Base Currency","Basiswährung verwenden"
"Use Default","Standardeinstellungen benutzen"
"Use base currency","Zahlung in der Standard Währung setteln."
"VISA","VISA"
"Validation","Validierung"
"Version","Version"
"View","Anzeigen"
"Wait On Success Page","Auf der Success Seite warten"
"We cannot get the transaction instance.","Wir können keine Transaktions-Instanz laden."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Es gibt ein Problem mit Ihrem Zahlungsmodul. Für mehr Informationen, besuchen Sie für die Informationsseite des Plugins."
"We're sorry. We were unable to process this transaction with Klarna. Please choose another payment method.","Leider können wir diesen Einkauf nicht über Klarna abwickeln. Bitte wählen Sie eine alternative Zahlungsoption aus, um Ihre Bestellung abzuschliessen."
"When the store is not available (network outage, server failure or any other outage), when the feedback of FirstData Connect is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Wenn der Shop nicht erreichbar ist (Netzwerk- Serverausfall o.ä.) während das Feedback von  FirstData Connect gesendet wird, wird der Transaktionsstatus nicht aktualisiert. Daher wird keine Bestätigungsmail für die Bestellung verwand und die Bestellung hat noch nicht den Status 'bezahlt'. Indem Sie Transaktionsupdates aktivieren, können solche Transaktionen über einen direkten Link aktualisiert werden. Um diesen Service zu nutzen, muss der Update Service aktiviert sein und der API Nutzername sowie das Passwort müssen festgelegt sein."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Beim externen Checkout mit Adressübergabe hat der Kunde nach der Rückkehr aus dem Wallet die Möglichkeit sich einzuloggen (als gast, ein Konto erstellen oder mit den bestehenden Kundenkonto einloggen). Alternativ können Sie den Kunden zwingen immer als Gastkunde auszuchecken. In diesem Fall muss aber in Magento Gast Checkout als Option aktiviert sein."
"Year","Jahr"
"Yes","Ja"
"Yes, use images for the brand selection.","Logos für die Auswahl des Kartenanbieters benutzen."
"You can allow the customers to manage/delete their aliases in the their account.","Sie können Ihren Kunden gestatten ihre Aliasse auf ihrem Konto zu verwalten/löschen."
"You can decide on the order status new orders should have after they are processed successfully.","Definieren Sie den Bestellstatus für Bestellungen, welche erfolgreich verarbeitet wurden."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definieren Sie den Bestellstatus für Bestellungen mit einer unsicheren Autorisierung."
"You can only capture/refund a complete line item. (Item: !name - Expected Amount: !expected - Given Amount: !given)","Sie können nur einen kompletten Posten erfassen / zurückerstatten. (Item: !name - Expected Amount: !expected - Given Amount: !given)"
"You can specify the order status for new orders that have an uncertain authorisation status.","Sie können den Status von Bestellungen mit unsicherem Autorisationsstatus definieren."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Sie können den Status von Bestellungen definieren, die entwerder direkt nach der Bestellung oder manuell im Backend verbucht werden."
"You can specify the order status for orders that are denied after being pending at Klarna","Sie können den Bestellstatus für Bestellungen, welche abgelehnt werden nachdem sie bei Klarna hängig waren, spezifizieren."
"You can specify the order status for orders that had a pending authorization status. Due to technical reasons it can happen that a transaction can not be cleared directly. The order will then be set on a hold state. The module will automatically check for a status update. With the 'Status after Pending' you define which status will be set in case the order has been cleared. We suggest to set the state according the authorization state above.","Hier können Sie den Bestellstatus für Bestellungen mit austehendem Autorisierungstatus festlegen. Aufgrund technischer Gründe kann es vorkommen, dass eine Transaktion nicht sofort freigeschaltet werden kann. Diese Bestellung wird dann vorübergehend angehalten. Das Modul wird automatisch nach einem Status Update nachprüfen. Mit dem Status 'Status nach ausstehender Bestellung' legen Sie fest, welcher Status gesetzt werden soll im Falle, dass die Bestellung freigegeben wurde. Wir empfehlen Ihnen, denselben Status wie den obigen Autorisierungsstatus zu wählen."
"You can specify the order status when an order is cancelled.","Sie können den Status von abgebrochenen Bestellungen definieren."
"You can switch between the different environments, by selecting the corresponding operation mode.","Sie können zwischen den verschiedenen Umgebungen wechseln indem Sie den korrespondierenden Operationsmodus auswählen."
"You created the order.","Sie haben die Bestellung aufgegeben."
"You have no stored aliases.","Sie haben keine gespeicherten Aliasse."
"You have to enter a bankcode.","Sie müssen einen Bankcode eingeben."
"You have to enter a card number.","Sie müssen eine Kartennummer eingeben"
"You have to enter a valid BIC.","Bitte geben Sie eine gültige BIC ein."
"You have to enter a valid IBAN","Bitte geben Sie eine gültige IBAN an."
"You have to enter a valid account number","Sie müssen eine gültige Kontonummer eingeben"
"You have to enter a valid bank code.","Sie müssen einen Bankcode eingeben."
"You have to enter an IBAN.","Sie müssen eine IBAN angeben."
"You have to enter an account number.","Sie müssen eine Kontonummer eingeben."
"You have to enter bank code of your bank.","Sie müssen den Bankcode Ihrer Bank eingeben"
"You have to enter commercial number of you company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"You have to enter either the CVC code or the issue number of your card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"You have to enter sales tax number of you company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"You have to enter sales tax number of your company.","Bitte geben Sie die Umsatzsteuer-Identifikationsnummer ein."
"You have to enter the BIC of your bank.","Sie müssen die BIC eingeben."
"You have to enter the BIC.","Sie müssen die BIC eingeben."
"You have to enter the CVC code from the back of your credit card.","Sie müssen den CV2 Code von Ihrer Kreditkarte eingeben"
"You have to enter the CVC code from your card.","Sie müssen den CVC Ihrer Karte eingeben."
"You have to enter the CVC code or the issue number from your credit card.","Bitte geben Sie entweder den CVC oder die Ausgabenummer Ihrer Karte ein."
"You have to enter the IBAN.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter the a card number.","Sie müssen eine Kartennummer eingeben"
"You have to enter the a valid card number.","Sie müssen eine gültige Kartennummer eingeben."
"You have to enter the account holder name on the card.","Sie müssen den Kontoinhaber angeben."
"You have to enter the account holder name.","Bitte geben Sie den Kontoinhaber an."
"You have to enter the card expiry.","Sie müssen das Kartenablaufdatum eingeben."
"You have to enter the card holder name on the card.","Bitte geben Sie den Namen des Karteninhabers ein"
"You have to enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"You have to enter the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"You have to enter the name of your bank.","Sie müssen den Namen Ihrer Bank eingeben."
"You have to enter your IBAN Number.","Sie müssen die IBAN Ihres Bankkontos eingeben"
"You have to enter your IBAN.","Bitte geben Sie Ihre IBAN ein."
"You have to enter your bank account number.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"You have to enter your birthplace","Bitte geben Sie Ihr Geburtsdatum ein."
"You have to enter your date of birth","Sie müssen Ihr Geburtsdatum eingeben"
"You have to enter your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"You may choose one of the cards you paid before on this site.","Sie können aus einer der bereits gespeicherten Karten auswählen."
"You may choose one of your stored payment details.","Wählen Sie eine der gespeicherten Zahlungsinformationen zur Zahlung."
"You will be redirect to the order confirmation page.","Sie werden zur Bestätigungsseite weitergeleitet"
"You will be redirected in a few seconds to MasterPass.","Sie werden in wenigen Sekunden zu MasterPass weitergeleitet."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Ihr Browser hat keine JavaScript Unterstützung. Bitte aktivieren Sie JavaScript oder wechseln Sie den Browser."
"Your checkout session expired.","Ihre Sitzung ist abgelaufen."
"FirstDataConnectCw Aliases","FirstDataConnectCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"FirstData Connect","FirstData Connect"
"FirstData Connect API Password","FirstData Connect API Password"
"FirstData Connect API Password (Test)","FirstData Connect Passwort (Test)"
"FirstData Connect API User Id","FirstData Connect API User ID"
"FirstData Connect API User Id (Test)","FirstData Connect API User ID (Test)"
"FirstData Connect API password","FirstData Connect API Passwort"
"FirstData Connect Aliases","FirstData Connect Aliasse"
"FirstData Connect Error","FirstData Connect Fehler"
"FirstData Connect Parameters","FirstData Connect Parameter"
"FirstData Connect Refund Items","FirstData Connect Gutschriftsartikel"
"FirstData Connect Section","FirstData Connect Sektion"
"FirstData Connect Transactions","FirstData Connect Transaktion"
"FirstData Connect: Alias Management","FirstData Connect: Alias Management"
"customweb ltd","customweb GmbH"
"no","Nein"
"or","oder"
"yes","Ja"
