"!symbol / month","!symbol / month"
"* Required Fields","* Champs requis"
"You have to enter sales tax number of your company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"You have to enter the BIC of your bank.","Vous devez saisir le code BIC."
"You have to enter the BIC.","Vous devez saisir le code BIC."
"You have to enter the CVC code from the back of your credit card.","Vous devez insérer le code CV2 qui se trouve à l'arrière de votre carte credit."
"You have to enter the CVC code from your card.","Vous devez insérer le code CVC de votre carte."
"You have to enter the CVC code or the issue number from your credit card.","Vous devez insérer le code CVC ou le numéro de série de votre carte."
"You have to enter the IBAN.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter the a card number.","Vous devez insérer le numéro de carte."
"You have to enter the a valid card number.","Il faut que vous insériez un numéro de carte valid"
"You have to enter the account holder name on the card.","Vous devez insérer le nom du titulaire de la carte."
"You have to enter the account holder name.","Veuillez insérer ici le nom du titulaire de la carte."
"You have to enter the card expiry.","Il faut que vous insériez la date d'expiration de la carte."
"You have to enter the card holder name on the card.","Vous devez insérer le titulaire de la carte."
"You have to enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"You have to enter the name of the account owner.","Vous devez insérer le titulaire de compte"
"You have to enter the name of your bank.","Vous devez insérer le nom de votre banque."
"You have to enter your IBAN Number.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter your IBAN.","Veuillez insérer votre numéro IBAN."
"You have to enter your bank account number.","Veuillez insérer l'IBAN de votre compte banquaire."
"You have to enter your birthplace","Veuillez insérer votre lieu de naissance."
"You have to enter your date of birth","Il faut que vous insériez votre date de naissance"
"You have to enter your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"You may choose one of the cards you paid before on this site.","Vous pouvez choisir parmi les cartes utilisées précédemment:"
"You may choose one of your stored payment details.","Sélectionnez l'une des informations de paiement enregistrées pour le paiement"
"You will be redirect to the order confirmation page.","Vous allez être redirigé vers la page de confirmation de commande."
"You will be redirected in a few seconds to MasterPass.","You will be redirected in a few seconds to MasterPass."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Votre navigateur ne permet pas l'exécution de JavaScript. Veuillez activer JavaScript dans votre navigateur et recharger cette page."
"Your checkout session expired.","Your checkout session expired."
"FirstDataConnectCw Aliases","FirstDataConnectCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"FirstData Connect","FirstData Connect"
"FirstData Connect API Password","FirstData Connect API Mot de passe"
"FirstData Connect API Password (Test)","Mot de passe FirstData Connect (Test)"
"FirstData Connect API User Id","FirstData Connect API User ID"
"FirstData Connect API User Id (Test)","FirstData Connect API User ID (Test)"
"FirstData Connect API password","FirstData Connect API password"
"FirstData Connect Aliases","Alias FirstData Connect"
"FirstData Connect Error","Erreur de FirstData Connect"
"FirstData Connect Parameters","FirstData Connect Paramètres"
"FirstData Connect Refund Items","FirstData Connect _ remboursement articles"
"FirstData Connect Section","Section FirstData Connect"
"FirstData Connect Transactions","Transactions de FirstData Connect"
"FirstData Connect: Alias Management","FirstData Connect: Gestion des Alias"
"customweb ltd","customweb ltd"
"no","no"
"or","ou"
"yes","Oui"
